物件名,路線名,駅名,駅までの距離（徒歩/分）,間取り,階,家賃,住所
5階建 築50年,ＪＲ山手線,西日暮里駅,5,2K,5,7.5,北区田端新町１
10階建 築52年,半蔵門線,半蔵門駅,3,2DK,6,11,千代田区平河町２
メゾン美羅樹ＩＩ,丸ノ内線,新高円寺駅,5,2DK,1,12.5,杉並区梅里１
矢来町１２５,東西線,神楽坂駅,1,5K,2,20,新宿区矢来町
マンション富士,ＪＲ山手線,新大久保駅,4,2K,3,11.5,新宿区百人町２
ドリーム・ビラ,西武池袋線,椎名町駅,5,2DK,2,14.2,豊島区西池袋４
メルベーユ・セイワ,有楽町線,氷川台駅,5,3DK,4,11.9,練馬区氷川台３
藍工房ビル,千代田線,根津駅,1,2DK,4,9.5,文京区根津１
3階建 築43年,千代田線,代々木上原駅,5,2DK,2,13.5,渋谷区西原２
庚申ビル,日比谷線,神谷町駅,2,2DK,2,15.5,港区虎ノ門３
3階建 築35年,丸ノ内線,東高円寺駅,5,2LDK,2,19.5,中野区本町６
9階建 築36年,ＪＲ京浜東北線,大井町駅,4,2SDK,3,18,品川区大井１
ターゲサンハイム,副都心線,地下鉄赤塚駅,5,2K,5,8,練馬区北町８
藤和池袋コープ,湘南新宿ライン宇須,池袋駅,7,2K,3,10.5,豊島区西池袋５
4階建 築44年,東西線,早稲田駅,5,2K,4,9,新宿区早稲田鶴巻町
グリーンハイツ中野,丸ノ内線,新中野駅,4,4DK,4,14.5,中野区中央４
アーク氷川台,有楽町線,氷川台駅,4,3DK,3,11,練馬区早宮１
高田馬場住宅,ＪＲ山手線,高田馬場駅,5,2LDK,7,12.5,新宿区下落合２
ハクジュウハイツ,ＪＲ山手線,目白駅,4,2DK,3,12,豊島区目白３
ばんはいむ,ＪＲ山手線,駒込駅,2,2K,1,9.5,豊島区駒込１
5階建 築57年,丸ノ内線,中野新橋駅,4,2LDK,5,10.3,中野区本町３
2階建 築49年,副都心線,小竹向原駅,3,2K,2,5.3,練馬区小竹町２
9階建 築47年,ＪＲ京浜東北線,蒲田駅,4,3DK,5,12.8,大田区西蒲田８
土田マンション,都営大江戸線,新御徒町駅,4,2DK,4,12.4,台東区台東４
第2ドミール森田,東西線,西葛西駅,4,3DK,4,9.7,江戸川区西葛西５
内藤コーポ,東西線,木場駅,4,2K,4,8,江東区木場６
5階建 築45年,ＪＲ山手線,駒込駅,4,2DK,2,10,北区西ケ原１
ベラモンターナ,有楽町線,平和台駅,5,3DK,3,12.4,練馬区春日町２
ハイツタカノ,ＪＲ山手線,大塚駅,5,2DK,1,8,豊島区南大塚１
ベル・ヴェ・デール氷川台,有楽町線,氷川台駅,3,3LDK,3,12.5,練馬区氷川台３
3階建 築55年,有楽町線,地下鉄赤塚駅,4,2K,3,7.5,練馬区田柄２
阿部様邸,ＪＲ中央線,東中野駅,6,2K,1-2,10,中野区東中野４
鳳明マンション,丸ノ内線,本郷三丁目駅,5,2DK,4,17,文京区本郷１
第21宮廷マンション,丸ノ内線,新大塚駅,1,2DK,6,14,文京区大塚４
5階建 築53年,東西線,早稲田駅,3,2DK,5,8.8,新宿区早稲田鶴巻町
波多野ハイツ,丸ノ内線,新中野駅,2,2K,2,10.7,中野区中央４
3階建 築38年,有楽町線,池袋駅,5,2LDK,3,13,豊島区西池袋２
セントラル第一青山,銀座線,外苑前駅,5,2K,2,9.8,港区南青山４
5階建 築45年,千代田線,綾瀬駅,1,3K,3,10,足立区綾瀬３
3階建 築45年,東武東上線,成増駅,8,2DK,2,8,練馬区旭町３
古屋ガーデンマンション,有楽町線,小竹向原駅,5,3DK,1,10.6,板橋区向原３
赤塚2貸家,副都心線,地下鉄赤塚駅,4,3LDK,1,18,板橋区赤塚２
パークハイツ綾瀬,千代田線,綾瀬駅,1,2DK,1,7.8,足立区綾瀬３
コーポ静山,有楽町線,小竹向原駅,5,2DK,2,7,板橋区向原２
尾高ビル,有楽町線,江戸川橋駅,1,2K,3,6.9,文京区関口１
7階建 築30年,有楽町線,氷川台駅,5,3LDK,5,15.7,練馬区桜台３
2階建 築70年,日比谷線,入谷駅,1,3LDK,1-2,13.5,台東区入谷１
SE・スクエア,東西線,西葛西駅,5,4LDK,4,14.3,江戸川区西葛西６
ルミエール落合,東西線,落合駅,1,2SLDK,3,16.2,中野区東中野４
STビル鶯谷,ＪＲ京浜東北線,鶯谷駅,2,2DK,3,9.6,台東区根岸２
コーポ中山,ＪＲ山手線,目白駅,3,2K,2,8.6,新宿区下落合２
レジデンス東郷,丸ノ内線,中野坂上駅,5,2LDK,2,16,中野区本町２
月島四丁目住宅,都営大江戸線,月島駅,5,2LDK,7,6,中央区月島４
須山ビルエンゼルハイム蒲田,ＪＲ京浜東北線,蒲田駅,5,2SLDK,1,13.5,大田区蒲田５
スリーエム,有楽町線,要町駅,5,2K,2,6,豊島区要町２
2階建 築44年,東武東上線,下赤塚駅,7,3LDK,1-2,18,板橋区赤塚２
K′S新中野,丸ノ内線,新中野駅,4,2DK,4,15.3,中野区本町４
5階建 築50年,千代田線,代々木上原駅,2,2DK,3,14,渋谷区西原３
高円寺サンハイツ,丸ノ内線,東高円寺駅,2,2DK,1,11.5,杉並区高円寺南１
5階建 築34年,有楽町線,氷川台駅,2,3DK,2,10.8,練馬区早宮１
赤坂ミツワビル,千代田線,赤坂駅,4,2DK,6,13.5,港区赤坂６
旭町マンション,東武東上線,成増駅,6,2K,2,6,練馬区旭町３
カールトンコート,丸ノ内線,新高円寺駅,5,2LDK,2,15.4,杉並区堀ノ内３
小茂根１丁目　貸家,有楽町線,小竹向原駅,2,2LDK,-,13.5,板橋区小茂根１
3階建 築39年,ＪＲ山手線,目白駅,5,2LDK,2,13,豊島区西池袋２
ハイム・セクオイア,ＪＲ山手線,大塚駅,5,2K,2,10,豊島区南大塚２
ホワイトコート駒込,ＪＲ山手線,駒込駅,3,2K,2,7.9,豊島区駒込２
第1三原コーポ,有楽町線,小竹向原駅,4,2K,2,7.8,板橋区向原１
菱和パレス駒込,ＪＲ山手線,駒込駅,3,2K,5,8.5,北区中里１
成子坂ハイツ,丸ノ内線,西新宿駅,4,2LDK,4,16,新宿区西新宿６
ライオンズマンション西葛西前,東西線,西葛西駅,2,4LDK,13,19.5,江戸川区西葛西６
2階建 築50年,ＪＲ山手線,西日暮里駅,5,2K,1,4.2,荒川区西日暮里５
メゾン清田,東西線,落合駅,1,2K,1,8.8,中野区東中野４
9階建 築50年,日比谷線,入谷駅,5,2DK,6,9.8,台東区根岸４
三光マンション,千代田線,根津駅,5,2K,1,7.4,文京区根津２
梅里マンション,丸ノ内線,新高円寺駅,3,2DK,3,9.5,杉並区梅里１
14階建 築42年,ＪＲ山手線,池袋駅,10,2K,3,11.5,豊島区東池袋４
2階建 築70年,日比谷線,茅場町駅,4,3DK,1-2,18,中央区新川１
神楽坂ココハイツ,東西線,神楽坂駅,5,2DK,6,13.5,新宿区築地町
11階建 築45年,ＪＲ山手線,大崎駅,5,2LDK,9,18.6,品川区北品川５
マンション小石川台,丸ノ内線,新大塚駅,3,2DK,2,14.5,文京区大塚５
司ハイツ,千代田線,北綾瀬駅,5,2K,1,6,足立区加平１
11階建 築33年,ＪＲ京浜東北線,大井町駅,5,2DK,10,11.7,品川区東大井４
竹中マンション,東西線,落合駅,3,2K,2,9.2,新宿区上落合２
6階建 築36年,丸ノ内線,方南町駅,2,2K,5,9.9,杉並区和泉４
グリーンヒルズII,東武東上線,下赤塚駅,4,3DK,2,11.5,板橋区赤塚２
テレパレス阿佐ヶ谷の杜,丸ノ内線,南阿佐ケ谷駅,5,2LDK,3,17.3,杉並区成田東４
地下1地上13階建 築43年,有楽町線,地下鉄成増駅,1,3DK,7,11,板橋区成増２
池之端２丁目戸建,千代田線,根津駅,3,3DK,-,12,台東区池之端２
第二藤美荘,千代田線,綾瀬駅,4,2K,1,5.8,葛飾区小菅４
根津２丁目戸建て,千代田線,根津駅,4,2LDK,-,15.4,文京区根津２
丸定ビル,丸ノ内線,新大塚駅,1,2K,7,8.8,豊島区東池袋５
ドルチェ落合,東西線,落合駅,5,2DK,5,12,新宿区上落合１
銀座コーポ,ＪＲ山手線,駒込駅,1,2DK,2,10,北区中里２
柏倉ビル,ＪＲ山手線,日暮里駅,5,2K,2,9,荒川区東日暮里５
ペルシェール西葛西,東西線,西葛西駅,2,4LDK,5,14,江戸川区西葛西３
マンション檀,丸ノ内線,本郷三丁目駅,3,2DK,4,12.7,文京区本郷２
MK新大塚マンション,ＪＲ山手線,大塚駅,7,2DK,6,7.6,豊島区東池袋５
グランヴィラ綾瀬,千代田線,北綾瀬駅,3,2DK,11,7.8,足立区谷中２
Ｋフラッツ,ＪＲ中央線,飯田橋駅,7,2LDK,4,13.9,千代田区富士見１
3階建 築79年,日比谷線,三ノ輪駅,5,2DK,3,9,荒川区南千住２
5階建 築42年,有楽町線,氷川台駅,3,2LDK,2,12.3,練馬区桜台３
ビュー小石川,丸ノ内線,茗荷谷駅,5,2DK,3,12,文京区小石川５
3階建 築57年,ＪＲ中央線,中野駅,5,2K,2,10.7,中野区中野３
